id,nombre_actual,nombre_comercial,categoria_nueva,subcategoria,precio_costo,precio_publico,stock,activo,url
2123,Camiseta Dama V Rojo Melange Spandex (CI-DAV-47),Camiseta Dama V Rojo Melange Spandex (CI-DAV-47),REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/productos/vestimenta/camisetas/línea-femenina/camiseta-dama-v-rojo-melange-spandex-1
2124,Camiseta Dama V Rosado Spandex,Camiseta Dama V Rosado Spandex,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/productos/vestimenta/camisetas/línea-femenina/camiseta-dama-v-rosado-spandex
2125,Camiseta Dama V Verde Spandex,Camiseta Dama V Verde Spandex,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/productos/vestimenta/camisetas/línea-femenina/camiseta-dama-v-verde-spandex
687,Camiseta Dry Amarillo,Camiseta Dry Amarillo,REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas-dry/drycool/camiseta-dry-amarillo
688,Camiseta Dry Amarillo Fluo,Camiseta Dry Amarillo Fluo,REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas-dry/drycool/camiseta-dry-amarillo-fluo
689,Camiseta Dry Azul Marino,Camiseta Dry Azul Marino,REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas-dry/drycool/camiseta-dry-azul-marino
690,Camiseta Dry Blanco,Camiseta Dry Blanco,REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas-dry/drycool/camiseta-dry-blanco
691,Camiseta Dry Kids Amarillo,Camiseta Dry Kids Amarillo,REGALOS PERSONALIZADOS,Textil,179.0,447.5,1,True,https://disershop.com.uy/camiseta-dry-kids-amarillo
692,Camiseta Dry Kids Amarillo Fluo,Camiseta Dry Kids Amarillo Fluo,REGALOS PERSONALIZADOS,Textil,179.0,447.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas-dry/drycool/camiseta-dry-kids-amarillo-fluo
693,Camiseta Dry Kids Celeste,Camiseta Dry Kids Celeste,REGALOS PERSONALIZADOS,Textil,179.0,447.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas-dry/drycool/camiseta-dry-kids-celeste
694,Camiseta Dry Negro,Camiseta Dry Negro,REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas-dry/drycool/camiseta-dry-negro
695,Camiseta Dry Niño Blanco,Camiseta Dry Niño Blanco,REGALOS PERSONALIZADOS,Textil,179.0,447.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas-dry/drycool/camiseta-dry-kids-blanco
696,Camiseta Dry Niño Negro,Camiseta Dry Niño Negro,REGALOS PERSONALIZADOS,Textil,179.0,447.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas-dry/drycool/camiseta-dry-kids-negro
697,Camiseta Dry Niño Rojo,Camiseta Dry Niño Rojo,REGALOS PERSONALIZADOS,Textil,179.0,447.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas-dry/drycool/camiseta-dry-kids-rojo
698,Camiseta Dry Niño Verde Fluo,Camiseta Dry Niño Verde Fluo,REGALOS PERSONALIZADOS,Textil,99.0,247.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas-dry/drycool/camiseta-dry-niño-verde-fluo
699,Camiseta Dry Rojo,Camiseta Dry Rojo,REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas-dry/drycool/camiseta-dry-rojo
700,Camiseta Drycool Amarilla (CI-DRY-07),Camiseta Drycool Amarilla (CI-DRY-07),REGALOS PERSONALIZADOS,Textil,99.0,247.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas-dry/drycool/camiseta-drycool-amarillo-1
701,Camiseta Drycool Blanca (CI-DRY-01),Camiseta Drycool Blanca (CI-DRY-01),REGALOS PERSONALIZADOS,Textil,99.0,247.5,0,True,https://disershop.com.uy/productos/vestimenta/camisetas-dry/drycool/camiseta-drycool-blanca
702,Camiseta Drycool Celeste (CI-DRY-18),Camiseta Drycool Celeste (CI-DRY-18),REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas-dry/drycool/camiseta-drycool-celeste
703,Camiseta Drycool Francia (CI-DRY-11),Camiseta Drycool Francia (CI-DRY-11),REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas-dry/drycool/camiseta-drycool-francia
704,Camiseta Drycool Naranja Fluo (CI-DRY-10),Camiseta Drycool Naranja Fluo (CI-DRY-10),REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas-dry/drycool/camiseta-drycool-naranja-fluo
705,Camiseta Drycool Roja (CI-DRY-03),Camiseta Drycool Roja (CI-DRY-03),REGALOS PERSONALIZADOS,Textil,99.0,247.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas-dry/drycool/camiseta-drycool-rojo
706,Camiseta Drycool Verde Fluo (CI-DRY-31),Camiseta Drycool Verde Fluo (CI-DRY-31),REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas-dry/drycool/camiseta-drycool-verde-fluo
